#posx1, posy1, posx2, posy2 posruta
#
780, 780, 900, 900, 0
705, 780, 775, 900, 1
636, 780, 700, 900, 2
564, 780, 631, 900, 3
491, 780, 559, 900, 4
418, 780, 486, 900, 5
334, 780, 413, 900, 6
271, 780, 339, 900, 7
198, 780, 266, 900, 8
124, 780, 193, 900, 9
0, 780, 120, 900, 10
0, 708, 120, 776, 11
0, 637, 120, 705, 12
0, 563, 120, 632, 13
0, 490, 120, 558, 14
0, 417, 120, 485, 15
0, 343, 120, 412, 16
0, 270, 120, 338, 17
0, 197, 120, 265, 18
0, 123, 120, 192, 19
0, 0, 120, 118, 20
124, 0, 193, 118, 21
198, 0, 265, 118, 22
269, 0, 338, 118, 23
343, 0, 411, 118, 24
415, 0, 485, 118, 25
489, 0, 558, 118, 26
563, 0, 631, 118, 27
636, 0, 704, 118, 28
709, 0, 775, 118, 29
780, 0, 900, 118, 30
780, 124, 900, 192, 31
780, 197, 900, 265, 32
780, 270, 900, 338, 33
780, 343, 900, 412, 34
780, 417, 900, 485, 35
780, 480, 900, 558, 36
780, 563, 900, 632, 37
780, 637, 900, 703, 38
780, 708, 900, 776, 39
